Search Link,Date collected,Title,Year,Certificate,Runtime,Genre,Description,Rating
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Rick and Morty,(2013– ),,23 min,"Animation, Adventure, Comedy",An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,9.2
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Игра на тронови,(2011–2019),,57 min,"Action, Adventure, Drama","Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",9.3
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Killing Eve,(2018– ),,42 min,"Action, Adventure, Drama","After a series of events, the lives of a security operative and an assassin become inextricably linked.",8.3
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Avatar: The Last Airbender,(2005–2008),,23 min,"Animation, Action, Adventure","In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",9.2
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Vikings,(2013– ),,44 min,"Action, Adventure, Drama","Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.",8.5
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Secret Society of Second-Born Royals,(2020),,,"Action, Adventure, Comedy","Director:
Anna Mastro
| 
    Stars:
Elodie Yung, 
Olivia Deeble, 
Peyton Elizabeth Lee, 
Skylar Astin",
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Stargirl,(2020– ),,45 min,"Action, Adventure, Crime",Teenager Courtney Whitmore joins the Justice Society of America. Based on the character from DC Comics.,7.4
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Agents of S.H.I.E.L.D.,(2013–2020),,45 min,"Action, Adventure, Drama","The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division.",7.5
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Флеш,(2014– ),,43 min,"Action, Adventure, Drama","After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, fighting crime in Central City.",7.7
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Lost,(2004–2010),,44 min,"Adventure, Drama, Fantasy",The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,8.3
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Легенди на Утрешнината,(2016– ),,42 min,"Action, Adventure, Drama","Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.",6.8
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,The Mandalorian,(2019– ),,40 min,"Action, Adventure, Sci-Fi","The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",8.7
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Dune,(I) (2020),,,"Adventure, Drama, Sci-Fi","Director:
Denis Villeneuve
| 
    Stars:
Rebecca Ferguson, 
Timothée Chalamet, 
Zendaya, 
Jason Momoa",
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Avengers: Endgame,(2019),PG-13,181 min,"Action, Adventure, Drama","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",8.4
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Scoob!,(2020),PG,93 min,"Animation, Adventure, Comedy","Scooby and the gang face their most challenging mystery ever: a plot to unleash the ghost dog Cerberus upon the world. As they race to stop this dogpocalypse, the gang discovers that Scooby has an epic destiny greater than anyone imagined.",5.8
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Doctor Who,(2005– ),,45 min,"Adventure, Drama, Family",The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,8.6
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Supergirl,(2015– ),,43 min,"Action, Adventure, Drama",The adventures of Superman's cousin in her own superhero career.,6.3
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Alex Rider,(2020– ),,,"Action, Adventure, Family",The adventures of a reluctant teenage spy on his missions to save the world.,7.5
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,The Witcher,(2019– ),,60 min,"Action, Adventure, Fantasy","Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.",8.3
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Стрела,(2012–2020),,42 min,"Action, Adventure, Crime","Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",7.6
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Gospodarot na prstenite: Druzhinata na prstenot,(2001),PG-13,178 min,"Action, Adventure, Drama",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,8.8
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Star Wars: Episode IX - The Rise of Skywalker,(2019),PG-13,142 min,"Action, Adventure, Fantasy","The surviving members of the resistance face the First Order once again, and the legendary conflict between the Jedi and the Sith reaches its peak bringing the Skywalker saga to its end.",6.7
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,The Last Airbender,(2010),PG,103 min,"Action, Adventure, Family","Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.",4.1
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Star Wars: The Clone Wars,(2008–2020),,23 min,"Animation, Action, Adventure",Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.,8.2
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,The Legend of Korra,(2012–2014),,23 min,"Animation, Action, Adventure",Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.,8.4
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Back to the Future,(1985),,116 min,"Adventure, Comedy, Sci-Fi","Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",8.5
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Star Trek: The Next Generation,(1987–1994),,44 min,"Action, Adventure, Mystery","Set almost 100 years after Captain Kirk's five-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on their own mission to go where no one has gone before.",8.6
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,(2020),R,109 min,"Action, Adventure, Crime","After splitting with the Joker, Harley Quinn joins superheroes Black Canary, Huntress and Renee Montoya to save a young girl from an evil crime lord.",6.1
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Shingeki no kyojin,(2013– ),,24 min,"Animation, Action, Adventure","After his hometown is destroyed and his mother is killed, young Eren Yeager vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",8.8
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Once Upon a Time,(2011–2018),,60 min,"Adventure, Fantasy, Romance",A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.,7.7
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Inception,(2010),PG-13,148 min,"Action, Adventure, Sci-Fi",A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,8.8
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Interstellar,(2014),PG-13,169 min,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,8.6
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Sonic the Hedgehog,(2020),PG,99 min,"Action, Adventure, Comedy","After discovering a small, blue, fast hedgehog, a small-town police officer must help him defeat an evil genius who wants to do experiments on him.",6.6
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Хари Потер и Каменот на мудроста,(2001),PG,152 min,"Adventure, Family, Fantasy","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",7.6
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Batwoman,(2019– ),,45 min,"Action, Adventure, Crime",Kate Kane seeks justice for Gotham City as Batwoman.,3.6
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Zack Snyder's Justice League,(2021),,,"Action, Adventure, Fantasy","Director:
Zack Snyder
| 
    Stars:
Amy Adams, 
Ben Affleck, 
Henry Cavill, 
Ray Fisher",
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Maleficent: Mistress of Evil,(2019),PG,119 min,"Adventure, Family, Fantasy","Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies and dark new forces at play.",6.6
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,The VelociPastor,(2018),,75 min,"Action, Adventure, Comedy","After losing his parents, a priest travels to China, where he inherits a mysterious ability that allows him to turn into a dinosaur. At first horrified by this new power, a hooker convinces him to use it to fight crime. And ninjas.",5.2
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,The Umbrella Academy,(2019– ),,60 min,"Action, Adventure, Comedy","A family of former child heroes, now grown apart, must reunite to continue to protect the world.",7.9
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Wonder Woman 1984,(2020),PG-13,,"Action, Adventure, Fantasy","Director:
Patty Jenkins
| 
    Stars:
Gal Gadot, 
Pedro Pascal, 
Connie Nielsen, 
Chris Pine",
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Harley Quinn,(2019– ),,23 min,"Animation, Action, Adventure","The series focuses on a single Harley Quinn, who sets off to make it on her own in Gotham City.",8.5
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Mulan,(I) (2020),PG-13,115 min,"Action, Adventure, Drama","Director:
Niki Caro
| 
    Stars:
Yifei Liu, 
Donnie Yen, 
Li Gong, 
Jet Li",
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Thor: Ragnarok,(2017),PG-13,130 min,"Action, Adventure, Comedy","Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",7.9
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Doom Patrol,(2019– ),,60 min,"Action, Adventure, Comedy",The adventures of an idealistic mad scientist and his field team of superpowered outcasts.,8.0
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Jumanji: The Next Level,(2019),PG-13,123 min,"Action, Adventure, Comedy","In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.",6.7
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Justice League,(2017),PG-13,120 min,"Action, Adventure, Fantasy","Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy.",6.4
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,No Time to Die,(2020),PG-13,163 min,"Action, Adventure, Thriller","Director:
Cary Joji Fukunaga
| 
    Stars:
Ana de Armas, 
Daniel Craig, 
Léa Seydoux, 
Ralph Fiennes",
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Onward,(I) (2020),PG,102 min,"Animation, Adventure, Comedy",Two elven brothers embark on a quest to bring their father back for one day.,7.5
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Fantasy Island,(2020),PG-13,109 min,"Adventure, Fantasy, Horror","When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends.",4.8
https://www.imdb.com/search/title/?genres=adventure&start=1&ref_=adv_nxt,2020-06-14,Alita: Battle Angel,(2019),PG-13,122 min,"Action, Adventure, Sci-Fi","A deactivated cyborg is revived, but cannot remember anything of her past life and goes on a quest to find out who she is.",7.3
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,Alita: Battle Angel,(2019),PG-13,122 min,"Action, Adventure, Sci-Fi","A deactivated cyborg is revived, but cannot remember anything of her past life and goes on a quest to find out who she is.",7.3
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,Star Trek: Deep Space Nine,(1993–1999),,45 min,"Action, Adventure, Drama","In the vicinity of the liberated planet of Bajor, the Federation space station Deep Space Nine guards the opening of a stable wormhole to the far side of the galaxy.",7.9
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,Captain America: The First Avenger,(2011),PG-13,124 min,"Action, Adventure, Sci-Fi","Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization.",6.9
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,Mad Max: Fury Road,(2015),R,120 min,"Action, Adventure, Sci-Fi","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",8.1
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,Inglourious Basterds,(2009),R,153 min,"Adventure, Drama, War","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",8.3
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,The Hunger Games,(2012),PG-13,142 min,"Action, Adventure, Sci-Fi",Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,7.2
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,Midway,(2019),PG-13,138 min,"Action, Adventure, Drama","The story of the Battle of Midway, told by the leaders and the sailors who fought it.",6.7
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,Smallville,(2001–2011),,60 min,"Adventure, Drama, Romance","A young Clark Kent struggles to find his place in the world as he learns to harness his alien powers for good and deals with the typical troubles of teenage life in Smallville, Kansas.",7.4
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,Fast & Furious Presents: Hobbs & Shaw,(2019),,137 min,"Action, Adventure","Lawman Luke Hobbs (Dwayne ""The Rock"" Johnson) and outcast Deckard Shaw (Jason Statham) form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity.",6.5
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,Indiana Jones and the Last Crusade,(1989),PG-13,127 min,"Action, Adventure","In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",8.2
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,Dolittle,(2020),PG,101 min,"Adventure, Comedy, Family",A physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.,5.6
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,Avengers: Infinity War,(2018),PG-13,149 min,"Action, Adventure, Sci-Fi",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,8.5
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,Titans,(I) (2018– ),,45 min,"Action, Adventure, Crime",A team of young superheroes combat evil and other perils.,7.8
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,Blood Machines,(2019),,50 min,"Adventure, Music, Sci-Fi",An artificial intelligence escapes her spaceship to turn into a female ghost and challenges two blade runners to a galactic chase.,6.4
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,Star Trek: Discovery,(2017– ),,60 min,"Action, Adventure, Drama","Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.",7.3
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,Jurassic Park,(1993),PG-13,127 min,"Action, Adventure, Sci-Fi",A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,8.1
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,The Dark Knight Rises,(2012),PG-13,164 min,"Action, Adventure","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",8.4
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,Suicide Squad,(2016),PG-13,123 min,"Action, Adventure, Fantasy",A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,6.0
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,Dirilis: Ertugrul,(2014–2019),,120 min,"Action, Adventure, Drama","The heroic story of Ertugrul Ghazi, the father of Osman (Uthman) who founded the Ottoman Empire.",7.8
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,Star Trek: Voyager,(1995–2001),,44 min,"Action, Adventure, Sci-Fi","Pulled to the far side of the galaxy, where the Federation is seventy-five years away at maximum warp speed, a Starfleet ship must cooperate with Maquis rebels to find a way home.",7.8
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,Black Widow,(2020),,,"Action, Adventure, Sci-Fi","Director:
Cate Shortland
| 
    Stars:
Scarlett Johansson, 
Robert Downey Jr., 
Florence Pugh, 
Rachel Weisz",
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,Twister,(I) (1996),,113 min,"Action, Adventure, Thriller","Bill and Jo Harding, advanced storm chasers on the brink of divorce, must join together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes.",6.4
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,Spartacus: Blood and Sand,(2010–2013),,55 min,"Action, Adventure, Biography","The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.",8.5
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,The Goonies,(1985),,114 min,"Adventure, Comedy, Family",A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.,7.8
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,Fantastic Beasts and Where to Find Them,(2016),PG-13,132 min,"Adventure, Family, Fantasy",The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,7.3
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,The Call of the Wild,(2020),PG,100 min,"Adventure, Drama, Family",A sled dog struggles for survival in the wilds of the Yukon.,6.8
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,Aladdin,(2019),PG,128 min,"Adventure, Family, Fantasy",A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,7.0
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,Black Panther,(2018),PG-13,134 min,"Action, Adventure, Sci-Fi","T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",7.3
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,Star Trek: Picard,(2020– ),,46 min,"Action, Adventure, Drama",Follow-up series to Star Trek: The Next Generation (1987) and Star Trek: Nemesis (2002) that centers on Jean-Luc Picard (Sir Patrick Stewart) in the next chapter of his life.,7.6
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,Орвил,(2017– ),,44 min,"Adventure, Comedy, Drama",An exploratory ship from Earth faces intergalactic challenges 400 years in the future.,8.0
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,The Lion King,(2019),PG,118 min,"Animation, Adventure, Drama","After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",6.9
https://www.imdb.com/search/title/?genres=adventure&start=50&ref_=adv_nxt,2020-06-14,Pirates of the Caribbean: Dead Men Tell No Tales,(2017),PG-13,129 min,"Action, Adventure, Fantasy",Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle. They're determined to kill every pirate at sea...notably Jack.,6.6
